index,backend,text,mos_naturalness_1to5,mos_pronunciation_1to5,mos_codeswitching_1to5,mos_meaning_preservation_1to5,notes
0,indic_parler,"Your OTP is 4821 — share with driver only.",,,,,
1,indic_parler,"Unga driver 5 minutes la vandhuruvaanga.",,,,,
2,indic_parler,"Booking for tomorrow 9 AM from Velachery to Airport.",,,,,
3,indic_parler,"Traffic heavy ah irukku on OMR, delay aagum.",,,,,
4,indic_parler,"Payment UPI la settle pannalam, fare ₹245.",,,,,
5,indic_f5,"Your OTP is 4821 — share with driver only.",,,,,
6,indic_f5,"Unga driver 5 minutes la vandhuruvaanga.",,,,,
7,indic_f5,"Booking for tomorrow 9 AM from Velachery to Airport.",,,,,
8,indic_f5,"Traffic heavy ah irukku on OMR, delay aagum.",,,,,
9,indic_f5,"Payment UPI la settle pannalam, fare ₹245.",,,,,
