id,category,english,tanglish
1,pickup,"Please come to the main gate, not the side entrance, since the side gate is locked right now.","Main gate-ku vaanga, side entrance-ku venaam, ippo side gate lock-a irukku."
2,pickup,"I am standing right next to the security cabin, wearing a blue shirt, so it should be easy to spot me.","Naan security cabin pakkathula nikkuren, blue shirt podutu irukken, so enna kandupudikardhu easy-a irukum."
3,pickup,"The pin you have is slightly off, so please ask the driver to come a little further down the road.","Neenga vachiruka pin konjam thappa irukku, so driver-a konjam mela road-la vaanga sollunga."
4,pickup,"I'm on the first floor of the mall, so it'll take me two minutes to come down to the parking area.","Naan mall first floor-la irukken, so parking area-ku varadhukku rendu nimisham aagum."
5,pickup,"Please tell the driver that our building doesn't allow cars inside, so he should wait at the main road.","Driver-kitta sollunga, enga building-ku ulla vandi anumadhikama, so main road-la wait pannunga sollunga."
6,pickup,"There are two apartments with almost the same name here, so please double check the block number.","Inga rendu apartment almost same name-la irukku, so block number-a double check pannunga."
7,pickup,"I just came out of the metro station, so please tell the driver to wait near exit number two.","Naan ippo thaan metro station-la irundhu veliye vandhen, so driver-kitta exit number rendu pakkathula wait pannunga nu sollunga."
8,pickup,"The address I entered is my office, but I'm actually waiting near the coffee shop right across the street.","Naan podra address enoda office thaan, aana naan actual-a andha road-oda opposite-la irukura coffee shop pakkathula wait pannuren."
9,pickup,"My phone battery is very low, so if the driver can't reach me by call, please try messaging instead.","Enoda phone battery romba kammi irukku, so driver call panni reach panna mudiyalana, message pannunga sollunga."
10,pickup,"It's quite dark near my house, so please tell the driver to flash the headlights once he's close so I can spot the car.","Enoda veedu pakkathula romba irutta irukku, so driver kitta pakkathula vandhathum headlight flash pannunga sollunga, naan vandi-a kandupudikaren."
11,waiting,"I still have about ten more minutes of my meeting left, so please ask the driver to wait a little longer.","Enoda meeting innum pathu nimisham irukku, so driver konjam nera wait pannunga sollunga."
12,waiting,"I know I'm taking longer than expected, so please let the driver know I'll add a little extra for the wait time.","Naan expect pannadha vida nera edukkuren nu enakku theriyum, so wait time-ku konjam extra kudukuren nu driver-kitta sollunga."
13,waiting,"The doctor hasn't called my number yet, so it might take another fifteen minutes before I come out.","Doctor innum enoda number call pannala, so veliye varadhukku innum padhinaindhu nimisham aagalam."
14,waiting,"Please don't cancel the ride yet, I'm just finishing up inside and I'll be out in five minutes.","Ippodhaikku ride cancel pannadheenga, naan ulla vela mudichitu irukken, ainthu nimishathula veliye varen."
15,waiting,"The driver has been waiting for a while now, so please hurry up and come down as soon as possible.","Driver nallaave neram wait pannitu irukaru, so fast-a veliye vaanga mudinjavarai."
16,waiting,"I got stuck in a long queue at billing, so it'll take a bit more time than I originally told you.","Naan billing-la neriya queue-la sikkitten, so naan mudhalla sonna time vida konjam nera aagum."
