kind,id,token,phonetic,gloss,category,rule_tag,note
phrase,driver_wrong_entrance_arrived,"Driver pakathule vandhutaru, aana thappana entrance-le wait pannuraru.","dry-vur pa-ka-thu-le van-thu-ta-ru, aa-na thap-pa-na entrance-le wait pan-nu-ra-ru",,driver_status,,
phrase,passenger_cant_come_near,"Naan kitta vara mudiyathu, neenga konja nerathula stop pannitu iruken, driver-a phone panni sollunga.","naan kit-ta va-ra mu-di-ya-thu, neen-ga kon-ja ne-ra-thu-la stop pan-nit i-ru-ken, dry-ver-a phone pan-ni sol-lun-ga",,passenger_request,,
phrase,passenger_wrong_address,"Vandi already inga vandhuduchu, aana neenga sonna address thappa iruku, konjam confirm pannunga.","van-di al-red-y in-ga van-thu-du-chu, aa-na neen-ga son-na address thap-pa i-ru-ku, kon-jam con-firm pan-nun-ga",,passenger_request,,
phrase,passenger_still_office,"Naan innum office-la iruken, konja neram aagum, driver kitta wait pannunga sollunga.","naan in-num of-fice-la i-ru-ken, kon-ja ne-ram aa-gum, dry-vur kit-ta wait pan-nun-ga sol-lun-ga",,passenger_request,,
phrase,toll_charge,toll charge iruku,toll charge i-ru-ku,,toll_parking,,
phrase,parking_fee,parking fee kudukanuma,par-king fee ku-du-ka-nu-ma,,toll_parking,,
phrase,bag_forgot,bag maranthutten,bag ma-run-thut-ten,,luggage,,Romanized from mixed-script draft
phrase,gps_wrong,GPS thappa kaattuthu,G-P-S thap-pa kaat-tu-thu,,app_glitch,,Romanized from mixed-script draft
phrase,driver_late_cancel,driver late-a vantha trip cancel panniduvaan,dry-vur late-a van-tha trip can-cel pan-ni-du-vaan,,driver_reject,,Romanized from mixed-script draft
phrase,light_inside,light podunga ullae,light po-dung-a ul-lae,,in_car,,Romanized from mixed-script draft
phrase,sonna_address_thappa,sonna address thappa iruku,son-na address thap-pa i-ru-ku,,confirmation,,
phrase,driver_kitta_wait_sollunga,driver kitta wait pannunga sollunga,dry-vur kit-ta wait pan-nun-ga sol-lun-ga,,passenger_request,,
phrase,wait_pannunga_sollunga,wait pannunga sollunga,wait pan-nun-ga sol-lun-ga,,passenger_request,,
phrase,confirm_pannunga,confirm pannunga,con-firm pan-nun-ga,,confirmation,,
phrase,kitta_vara_mudiyathu,kitta vara mudiyathu,kit-ta va-ra mu-di-ya-thu,,passenger_request,,
phrase,konja_neram_aagum,konja neram aagum,kon-ja ne-ram aa-gum,,timing,,
phrase,phone_panni_sollunga,phone panni sollunga,phone pan-ni sol-lun-ga,,passenger_request,,
phrase,toll_gate,toll gate vandhuduchu,toll gate van-thu-du-chu,,toll_parking,,
phrase,extra_fee,extra fee edhukku,ex-tra fee e-thuk-ku,,toll_parking,,
phrase,state_border,state border cross pannom,state bor-der cross pan-nom,,toll_parking,,
phrase,bag_boot,bag boot-la vekkunga,bag boot-la vek-kung-a,,luggage,,
phrase,luggage_help,luggage edukka help pannunga,lug-gage e-duk-ka help pan-nun-ga,,luggage,,
phrase,seat_left,seat-la onnu vittuten,seat-la on-nu vit-tu-ten,,luggage,,
phrase,bag_eduthutinga,bag eduthutinga,bag e-thu-thu-ting-a,,luggage,,
phrase,app_hang,app hang aagiduchu,app hang aa-gi-du-chu,,app_glitch,,
phrase,location_update,location update aagala,lo-ca-tion up-date aa-ga-la,,app_glitch,,
phrase,app_crash,app crash aayiduchu,app crash aa-yi-du-chu,,app_glitch,,
phrase,map_wrong_route,map-la route thappa varuthu,map-la route thap-pa va-ru-thu,,app_glitch,,
phrase,network_illa,network illa inga,net-work il-la in-ga,,app_glitch,,
phrase,hot_sunny,romba veyyil-a iruku,rom-ba vey-yil-a i-ru-ku,,weather,,
phrase,cold,kulira iruku,ku-li-ra i-ru-ku,,weather,,
phrase,road_wet,road wet-a iruku,road wet-a i-ru-ku,,weather,,
phrase,child_boarding,kutty erukanga,kut-ty e-ru-kang-a,,passenger,,
phrase,pet_ok,pet-a ellikalama,pet-a el-li-ka-la-ma,,passenger,,
phrase,child_seat,child seat irukka,child seat i-ruk-ka,,passenger,,
phrase,no_google_maps,Google map paakama vaanga,Goog-le map paa-ka-ma vaan-ga,,navigation,,
phrase,app_different_route,app sonna vazhi vera,app son-na va-zhi ve-ra,,navigation,,
phrase,my_route,naan sollara vazhila vaanga,naan sol-la-ra va-zhi-la vaan-ga,,navigation,,
phrase,shortcut,shortcut theriyuma,short-cut the-ri-yu-ma,,navigation,,
phrase,two_of_us,naanga rendu per irukom,naang-a ren-du per i-ru-kom,,coordination,,
phrase,pick_friend,friend-a kooda erikanum,friend-a koo-da e-ri-ka-num,,coordination,,
phrase,everyone_arrived,ella perum vandhutanga,el-la pe-rum van-thu-tang-a,,coordination,,
phrase,one_more_waiting,innoru per kaathurukanga,in-no-ru per kaa-thu-ru-kang-a,,coordination,,
phrase,sorry,sorry-nga,sor-ry-nga,,courtesy,,
phrase,all_fine,ellam nalla iruku,el-lam nal-la i-ru-ku,,courtesy,,
phrase,right_place,inga thaan sariya,in-ga thaan sa-ri-ya,,drop,,
phrase,correct_place,correct place-a,cor-rect place-a,,drop,,
phrase,drop_here,ivlothaan podunga,iv-lo-thaan po-dung-a,,drop,,
phrase,gate_stop,gate mundhadi nikkunga,gate mun-tha-di nik-kung-a,,drop,,
phrase,driver_reject,driver ride ah reject panniruaru,dry-vur ride-a re-ject pan-ni-ru-aa-ru,,driver_reject,,
phrase,different_driver,vera driver kudunga,ve-ra dry-vur ku-dung-a,,driver_reject,,
phrase,driver_wont_come,driver varaan nu sonna,dry-vur va-raan nu son-na,,driver_reject,,
phrase,driver_cancel_trip,trip ah driver cancel pannitaru,trip-a dry-vur can-cel pan-ni-ta-ru,,driver_reject,,
phrase,book_another,naan yosikamale vera book pannuren,naan yo-si-ka-ma-le ve-ra book pan-nu-ren,,driver_reject,,
phrase,ac_lower,AC konjam kammi pannunga,A-C kon-jam kam-mi pan-nun-ga,,in_car,,
phrase,play_music,music potukalama,mu-sic po-thu-ka-la-ma,,in_car,,
phrase,volume_lower,volume kammi pannunga,vo-lume kam-mi pan-nun-ga,,in_car,,
phrase,change_radio,radio maathunga,ra-dio maa-thun-ga,,in_car,,
phrase,close_window,window pottukalama,win-dow pot-tu-ka-la-ma,,in_car,,
phrase,charge_phone,phone charge pannikalama,phone charge pan-ni-ka-la-ma,,in_car,,
phrase,my_route_go,naan sonna route-la po,naan son-na route-la po,,route,,
phrase,no_app_route,app route venaam,app route ve-naam,,route,,
phrase,traffic_route,indha route-la traffic irukum,in-tha route-la traf-fic i-ru-kum,,route,,
phrase,main_road,main road-a po,main road-a po,,route,,
phrase,inner_road,inner road-la po,in-ner road-la po,,route,,
phrase,no_four_way,naalu vazhi route venaam,naa-lu va-zhi route ve-naam,,route,,
phrase,wrong_spot,naan sonna spot-la illa neenga,naan son-na spot-la il-la neen-ga,,pickup,,
phrase,pin_wrong,pin location thappu,pin lo-ca-tion thap-pu,,pickup,,
phrase,wrong_building,vera building-ku vandhutinga,ve-ra bil-ding-ku van-thu-ting-a,,pickup,,
